;Unnamed: 0;Unnamed: 0.1;ano;date;round;home_team;away_team;placar_casa;placar_visitante;resultado;arena;mv38;me38;md38;mvc19;mec19;mdc19;vv38;ve38;vd38;vvf19;vef19;vdf19;mv6;me6;md6;mvc3;mec3;mdc3;vv6;ve6;vd6;vvf3;vef3;vdf3;mgm38;mgs38;mgmc19;mgsc19;vgm38;vgs38;vgmf19;vgsf19;mgm6;mgs6;mgmc3;mgsc3;vgm6;vgs6;vgmf3;vgsf3;model_prediction;resultado_0-1;correto
0;0;380;2007;13/05/2007;1;Flamengo;Palmeiras;2.0;4.0;1.0;Maracanã;0.5172413793103449;0.3684210526315789;0.5714285714285714;0.5555555555555556;0.4166666666666667;0.3076923076923077;0.42857142857142855;0.42105263157894735;0.024725274725274728;0.15384615384615385;0.3333333333333333;0.7647058823529411;0.5;0.0;0.5;0.6666666666666666;0.0;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.5;0.0;0.3333333333333333;0.6666666666666666;0.5301204819277109;0.6075949367088608;0.5;0.4473684210526316;0.6666666666666666;0.8974358974358975;0.5405405405405406;0.7962962962962963;0.3157894736842105;0.4090909090909091;0.35714285714285715;0.25;0.5238095238095238;0.6190476190476191;0.4166666666666667;0.5714285714285714;0.27060172;1.0;0
1;1;381;2007;13/05/2007;1;Atlético-MG;Náutico;2.0;1.0;0.0;Mineirão;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3614457831325301;0.810126582278481;0.35185185185185186;0.7105263157894737;0.3448275862068966;0.8205128205128205;0.2972972972972973;0.6851851851851852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23910174;0.0;1
2;2;382;2007;13/05/2007;1;Internacional;Botafogo;2.0;3.0;1.0;Beira Rio;0.6896551724137931;0.4736842105263158;0.32142857142857145;0.5555555555555556;0.5;0.2307692307692308;0.4642857142857143;0.631578947368421;0.017857142857142856;0.2307692307692308;0.6666666666666666;0.4705882352941176;0.5;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.5;0.0;0.0;1.0;0.6265060240963856;0.4556962025316456;0.4814814814814815;0.42105263157894735;0.5977011494252874;0.6410256410256411;0.4594594594594595;0.4444444444444444;0.4736842105263158;0.2727272727272727;0.2857142857142857;0.3333333333333333;0.2857142857142857;0.5238095238095238;0.16666666666666666;0.5714285714285714;0.23241422;1.0;0
3;3;383;2007;13/05/2007;1;Paraná;Grêmio;3.0;0.0;0.0;Durival de Brito;0.6206896551724138;0.3157894736842105;0.5;0.6666666666666666;0.3333333333333333;0.2307692307692308;0.7142857142857143;0.3684210526315789;0.01510989010989011;0.5384615384615384;0.3333333333333333;0.4705882352941176;0.5;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.0;0.3333333333333333;0.6666666666666666;0.0;0.3333333333333333;0.6746987951807228;0.620253164556962;0.5;0.34210526315789475;0.7356321839080459;0.5769230769230769;0.6486486486486487;0.5370370370370371;0.42105263157894735;0.2727272727272727;0.35714285714285715;0.16666666666666666;0.5238095238095238;0.2857142857142857;0.4166666666666667;0.2857142857142857;0.25871116;0.0;1
4;4;384;2007;12/05/2007;1;Figueirense;Athletico-PR;3.0;6.0;1.0;Orlando Scarpelli;0.5172413793103449;0.631578947368421;0.3928571428571429;0.5;0.5833333333333334;0.2307692307692308;0.4642857142857143;0.4736842105263158;0.021978021978021976;0.3076923076923077;0.5;0.5294117647058824;0.5;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;0.6666666666666666;0.3333333333333333;0.6265060240963856;0.5569620253164557;0.462962962962963;0.3947368421052632;0.7011494252873564;0.7948717948717948;0.7567567567567568;0.6111111111111112;0.42105263157894735;0.18181818181818185;0.07142857142857142;0.0;0.2857142857142857;0.5714285714285714;0.16666666666666666;0.21428571428571427;0.23582795;1.0;0
5;1;1;1;1;1;1;1;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9791834;1.0;1
6;6;386;2007;12/05/2007;1;São Paulo;Goiás;2.0;0.0;0.0;Morumbi;0.7586206896551724;0.631578947368421;0.14285714285714285;0.7777777777777778;0.3333333333333333;0.07692307692307693;0.5357142857142857;0.5263157894736842;0.017857142857142856;0.4615384615384616;0.4166666666666667;0.4705882352941176;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.5;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.0;0.7951807228915663;0.4050632911392405;0.7407407407407407;0.3684210526315789;0.7241379310344828;0.6282051282051282;0.7027027027027027;0.4444444444444444;0.4736842105263158;0.045454545454545456;0.42857142857142855;0.08333333333333333;0.5714285714285714;0.2857142857142857;0.75;0.21428571428571427;0.22936982;0.0;1
7;7;387;2007;13/05/2007;1;América-RN;Vasco;0.0;1.0;1.0;Machadão;0.0;0.0;0.0;0.0;0.0;0.0;0.5357142857142857;0.7368421052631579;0.012362637362637364;0.5384615384615384;0.4166666666666667;0.4117647058823529;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3614457831325301;0.810126582278481;0.35185185185185186;0.7105263157894737;0.6551724137931034;0.6410256410256411;0.7297297297297297;0.5740740740740741;0.0;0.0;0.0;0.0;0.3333333333333333;0.2380952380952381;0.16666666666666666;0.14285714285714285;0.31727797;1.0;0
8;8;388;2007;13/05/2007;1;Corinthians;Juventude;1.0;0.0;0.0;Morumbi;0.5172413793103449;0.42105263157894735;0.5357142857142857;0.5;0.25;0.5384615384615384;0.4642857142857143;0.42105263157894735;0.02335164835164835;0.15384615384615385;0.16666666666666666;0.8823529411764706;0.5;0.5;0.0;0.6666666666666666;0.3333333333333333;0.0;0.16666666666666666;0.3333333333333333;0.5;0.0;0.3333333333333333;0.6666666666666666;0.4939759036144578;0.5822784810126582;0.4074074074074074;0.6052631578947368;0.5057471264367817;0.6923076923076923;0.4324324324324325;0.7222222222222222;0.4736842105263158;0.2272727272727273;0.5;0.3333333333333333;0.4761904761904762;0.6190476190476191;0.3333333333333333;0.5;0.25939944;0.0;1
9;9;389;2007;13/05/2007;1;Sport;Santos;4.0;1.0;0.0;Ilha do Retiro;0.0;0.0;0.0;0.0;0.0;0.0;0.6428571428571429;0.5263157894736842;0.013736263736263736;0.2307692307692308;0.6666666666666666;0.4705882352941176;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.16666666666666666;0.0;1.0;0.0;0.3614457831325301;0.810126582278481;0.35185185185185186;0.7105263157894737;0.6666666666666666;0.4615384615384616;0.6216216216216216;0.4444444444444444;0.0;0.0;0.0;0.0;0.2857142857142857;0.19047619047619047;0.16666666666666666;0.14285714285714285;0.40907463;0.0;1
10;10;390;2007;20/05/2007;2;Goiás;Flamengo;1.0;3.0;1.0;Serra Dourada;0.5172413793103449;0.4736842105263158;0.5;0.5;0.4166666666666667;0.38461538461538464;0.5357142857142857;0.3684210526315789;0.021978021978021976;0.38461538461538464;0.16666666666666666;0.7058823529411765;0.3333333333333333;0.16666666666666666;0.5;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.7590361445783133;0.6455696202531646;0.6851851851851852;0.6578947368421053;0.5287356321839081;0.6538461538461539;0.4594594594594595;0.5740740740740741;0.4736842105263158;0.3636363636363637;0.21428571428571427;0.25;0.3333333333333333;0.6190476190476191;0.08333333333333333;0.42857142857142855;0.23644337;1.0;0
